year,city,country,avg_temp
1897,Tianjin,China,11.37
1898,Tianjin,China,12.49
1899,Tianjin,China,12.48
1900,Tianjin,China,12.01
1901,Tianjin,China,11.71
1902,Tianjin,China,12.66
1903,Tianjin,China,12.12
1904,Tianjin,China,11.69
1905,Tianjin,China,11.25
1906,Tianjin,China,11.32
1907,Tianjin,China,11.60
1908,Tianjin,China,11.32
1909,Tianjin,China,11.15
1910,Tianjin,China,11.08
1911,Tianjin,China,10.93
1912,Tianjin,China,10.95
1913,Tianjin,China,11.29
1914,Tianjin,China,12.07
1915,Tianjin,China,10.98
1916,Tianjin,China,11.13
1917,Tianjin,China,10.97
1918,Tianjin,China,11.21
1919,Tianjin,China,11.91
1920,Tianjin,China,12.28
1921,Tianjin,China,11.85
1922,Tianjin,China,11.78
1923,Tianjin,China,11.48
1924,Tianjin,China,11.74
1925,Tianjin,China,11.63
1926,Tianjin,China,11.95
1927,Tianjin,China,12.00
1928,Tianjin,China,11.69
1929,Tianjin,China,11.90
1930,Tianjin,China,12.01
1931,Tianjin,China,11.45
1932,Tianjin,China,11.96
1933,Tianjin,China,11.22
1934,Tianjin,China,11.40
1935,Tianjin,China,12.37
1936,Tianjin,China,11.08
1937,Tianjin,China,11.79
1938,Tianjin,China,12.14
1939,Tianjin,China,12.37
1940,Tianjin,China,12.25
1941,Tianjin,China,12.39
1942,Tianjin,China,12.41
1943,Tianjin,China,12.56
1944,Tianjin,China,11.95
1945,Tianjin,China,12.34
1946,Tianjin,China,12.51
1947,Tianjin,China,10.83
1948,Tianjin,China,12.57
1949,Tianjin,China,12.39
1950,Tianjin,China,11.90
1951,Tianjin,China,12.02
1952,Tianjin,China,11.71
1953,Tianjin,China,11.96
1954,Tianjin,China,11.34
1955,Tianjin,China,12.21
1956,Tianjin,China,10.84
1957,Tianjin,China,11.16
1958,Tianjin,China,12.10
1959,Tianjin,China,12.39
1960,Tianjin,China,12.24
1961,Tianjin,China,12.95
1962,Tianjin,China,12.24
1963,Tianjin,China,12.36
1964,Tianjin,China,11.63
1965,Tianjin,China,12.36
1966,Tianjin,China,11.87
1967,Tianjin,China,11.69
1968,Tianjin,China,12.13
1969,Tianjin,China,10.86
1970,Tianjin,China,11.47
1971,Tianjin,China,11.86
1972,Tianjin,China,11.99
1973,Tianjin,China,12.17
1974,Tianjin,China,11.79
1975,Tianjin,China,12.99
1976,Tianjin,China,11.59
1977,Tianjin,China,12.34
1978,Tianjin,China,12.42
1979,Tianjin,China,11.89
1980,Tianjin,China,11.85
1981,Tianjin,China,12.22
1982,Tianjin,China,12.74
1983,Tianjin,China,12.86
1984,Tianjin,China,11.70
1985,Tianjin,China,11.44
1986,Tianjin,China,12.03
1987,Tianjin,China,12.35
1988,Tianjin,China,12.51
1989,Tianjin,China,13.07
1990,Tianjin,China,12.72
1991,Tianjin,China,12.36
1992,Tianjin,China,12.48
1993,Tianjin,China,12.47
1994,Tianjin,China,13.29
1995,Tianjin,China,12.81
1996,Tianjin,China,12.31
1997,Tianjin,China,13.06
1998,Tianjin,China,13.55
1999,Tianjin,China,13.40
2000,Tianjin,China,12.88
2001,Tianjin,China,13.06
2002,Tianjin,China,13.39
2003,Tianjin,China,12.84
2004,Tianjin,China,13.29
2005,Tianjin,China,12.89
2006,Tianjin,China,13.25
2007,Tianjin,China,13.70
2008,Tianjin,China,13.12
2009,Tianjin,China,12.97
2010,Tianjin,China,12.25
2011,Tianjin,China,12.77
2012,Tianjin,China,12.29
2013,Tianjin,China,14.14
